"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35973.780509792","","","","","","",
"Afghanistan","AFG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","875.517610447298","922.829449153001","916.334474798349","1011.59552439759","1065.61966514703","1210.4792652894","1247.06614429099","1482.09883711417","1581.60083598967","1660.73985617959","1873.15394552307","1913.16064351328","1937.23536533725","1926.35733615809","1944.11700491066","",
"Angola","AGO","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2840.20076315583","2811.28712551309","2591.3262764243","1932.80403070552","1978.43803181514","2162.91720334849","2380.13283783075","2541.71249753358","2670.6200295541","2721.1555587273","2781.25814006965","2870.03671445479","2620.88901186581","2715.9434412314","2985.59858539211","3516.40265774144","4222.66303265405","5128.36125339137","5743.11004757119","5718.69440789557","5775.864013056","5911.25433387322","6109.13661230635","6400.6733758948","6594.67786858273","6635.24275034319","6454.13537038718","",
"Albania","ALB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2722.28034358589","1992.56052815317","1902.75127995122","2148.09995433357","2390.5310208385","2782.09373440791","3109.94334713626","2838.04492009684","3209.61537164497","3690.68298060151","4029.01697070654","4457.11163824546","4754.65369689757","5114.72169545235","5522.98213441617","5942.88400909312","6631.83568738577","7291.23975121019","8228.33710618171","8813.25200258571","9637.3453676511","10207.7646993323","10526.241215339","10570.9529979079","11259.2645003792","11282.7935754788","11540.0255610802","",
"Andorra","AND","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6759.78539093193","6821.77096087632","7193.24201171958","7394.49997706698","7583.28192190815","7714.28190754967","8029.94844326671","8331.92994715317","8711.42025568018","8867.32226243037","9332.82192911126","9513.81880456479","9512.98457028488","9917.93652528111","10884.5308489106","11600.5906637029","12397.9410219924","12988.2195913216","13679.6590219198","13582.642147547","14071.014893606","14445.863000172","15113.6409682485","15548.2009045411","15934.2020695992","16302.3637597421","16726.7221848826","",
"United Arab Emirates","ARE","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71786.1128335806","70641.7656564284","70495.9605309004","69085.1259883473","71492.9295989226","74045.229872312","75977.3934186682","79612.8677689215","76783.5424698263","76193.7004779163","81818.6205173162","80488.68974057","79388.0109766278","82571.3609937112","85090.2827549","82205.9452673222","81305.3748081055","74698.2743802594","68902.1990517593","59160.0018484339","56415.0740513142","58404.0155885493","60914.8030820498","64713.1312056033","67553.8710707468","70254.8315723693","72399.6534733898","",
"Argentina","ARG","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6990.5540452718","8024.5923535332","9061.6455871977","9693.96727918434","10342.4762422745","10129.7777926836","10754.198418916","11688.7464014871","12132.5103928877","11769.1499747988","11810.0613643332","11419.0588662652","10217.2730997834","11217.5719276888","12430.7137249452","13817.7140737884","15227.5124961234","16865.5447595212","17711.4417867571","16618.1208523782","18333.5436985461","19629.3518451916","19579.0064837139","20161.4968324254","19802.1000113587","20340.29241926","19939.9307747882","",
"Armenia","ARM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2418.86092636919","2227.66945587397","1350.10825140973","1290.47311470913","1422.70977557333","1584.60046971304","1734.65530236428","1843.37854477079","2015.10557483509","2126.91516905879","2318.23807343875","2613.78456721754","3020.45398677045","3531.9686429486","4031.94720413531","4769.48900409301","5607.6458691567","6605.21669618151","7260.96875587368","6323.57833605451","6567.25858179835","7022.10394338388","7649.49140943212","7997.38712848925","8397.09917770072","8727.55832544865","8832.76343477121","",
"American Samoa","ASM","GDP per capita, PPP (current international $)","NY.GDP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
