"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","PPP","TOT","NATUSD","A","2000",1.311102,
"AUS","PPP","TOT","NATUSD","A","2001",1.327469,
"AUS","PPP","TOT","NATUSD","A","2002",1.33649,
"AUS","PPP","TOT","NATUSD","A","2003",1.355927,
"AUS","PPP","TOT","NATUSD","A","2004",1.36494,
"AUS","PPP","TOT","NATUSD","A","2005",1.388356,
"AUS","PPP","TOT","NATUSD","A","2006",1.4029,
"AUS","PPP","TOT","NATUSD","A","2007",1.426944,
"AUS","PPP","TOT","NATUSD","A","2008",1.479073,
"AUS","PPP","TOT","NATUSD","A","2009",1.441762,
"AUS","PPP","TOT","NATUSD","A","2010",1.501319,
"AUS","PPP","TOT","NATUSD","A","2011",1.511052,
"AUS","PPP","TOT","NATUSD","A","2012",1.540115,
"AUS","PPP","TOT","NATUSD","A","2013",1.447123,
"AUS","PPP","TOT","NATUSD","A","2014",1.452489,
"AUS","PPP","TOT","NATUSD","A","2015",1.470809,
"AUS","PPP","TOT","NATUSD","A","2016",1.485521,
"AUS","PPP","TOT","NATUSD","A","2017",1.516225,
"AUT","PPP","TOT","NATUSD","A","2000",0.907639,
"AUT","PPP","TOT","NATUSD","A","2001",0.922015,
"AUT","PPP","TOT","NATUSD","A","2002",0.899797,
"AUT","PPP","TOT","NATUSD","A","2003",0.889213,
"AUT","PPP","TOT","NATUSD","A","2004",0.878564,
"AUT","PPP","TOT","NATUSD","A","2005",0.881939,
"AUT","PPP","TOT","NATUSD","A","2006",0.860806,
"AUT","PPP","TOT","NATUSD","A","2007",0.869168,
"AUT","PPP","TOT","NATUSD","A","2008",0.854424,
"AUT","PPP","TOT","NATUSD","A","2009",0.84371,
"AUT","PPP","TOT","NATUSD","A","2010",0.841437,
"AUT","PPP","TOT","NATUSD","A","2011",0.831374,
"AUT","PPP","TOT","NATUSD","A","2012",0.813648,
"AUT","PPP","TOT","NATUSD","A","2013",0.797081,
"AUT","PPP","TOT","NATUSD","A","2014",0.798797,
"AUT","PPP","TOT","NATUSD","A","2015",0.799058,
"AUT","PPP","TOT","NATUSD","A","2016",0.80042,
"AUT","PPP","TOT","NATUSD","A","2017",0.798475,
"BEL","PPP","TOT","NATUSD","A","2000",0.900133,
"BEL","PPP","TOT","NATUSD","A","2001",0.891514,
"BEL","PPP","TOT","NATUSD","A","2002",0.8733,
"BEL","PPP","TOT","NATUSD","A","2003",0.877144,
"BEL","PPP","TOT","NATUSD","A","2004",0.888818,
"BEL","PPP","TOT","NATUSD","A","2005",0.891788,
"BEL","PPP","TOT","NATUSD","A","2006",0.875063,
"BEL","PPP","TOT","NATUSD","A","2007",0.879975,
"BEL","PPP","TOT","NATUSD","A","2008",0.86694,
"BEL","PPP","TOT","NATUSD","A","2009",0.850088,
"BEL","PPP","TOT","NATUSD","A","2010",0.835824,
"BEL","PPP","TOT","NATUSD","A","2011",0.831911,
"BEL","PPP","TOT","NATUSD","A","2012",0.822137,
"BEL","PPP","TOT","NATUSD","A","2013",0.806166,
"BEL","PPP","TOT","NATUSD","A","2014",0.800214,
"BEL","PPP","TOT","NATUSD","A","2015",0.801323,
"BEL","PPP","TOT","NATUSD","A","2016",0.803617,
"BEL","PPP","TOT","NATUSD","A","2017",0.808339,
"CAN","PPP","TOT","NATUSD","A","2000",1.227561,
"CAN","PPP","TOT","NATUSD","A","2001",1.220112,
"CAN","PPP","TOT","NATUSD","A","2002",1.229333,
"CAN","PPP","TOT","NATUSD","A","2003",1.226255,
"CAN","PPP","TOT","NATUSD","A","2004",1.232587,
"CAN","PPP","TOT","NATUSD","A","2005",1.213644,
"CAN","PPP","TOT","NATUSD","A","2006",1.205336,
"CAN","PPP","TOT","NATUSD","A","2007",1.213055,
"CAN","PPP","TOT","NATUSD","A","2008",1.23439,
"CAN","PPP","TOT","NATUSD","A","2009",1.201517,
"CAN","PPP","TOT","NATUSD","A","2010",1.221134,
"CAN","PPP","TOT","NATUSD","A","2011",1.239904,
"CAN","PPP","TOT","NATUSD","A","2012",1.244607,
"CAN","PPP","TOT","NATUSD","A","2013",1.224,
"CAN","PPP","TOT","NATUSD","A","2014",1.230358,
"CAN","PPP","TOT","NATUSD","A","2015",1.246954,
"CAN","PPP","TOT","NATUSD","A","2016",1.252341,
"CAN","PPP","TOT","NATUSD","A","2017",1.260086,
"CZE","PPP","TOT","NATUSD","A","2000",14.332718,
"CZE","PPP","TOT","NATUSD","A","2001",14.308398,
"CZE","PPP","TOT","NATUSD","A","2002",14.458321,
"CZE","PPP","TOT","NATUSD","A","2003",14.192708,
"CZE","PPP","TOT","NATUSD","A","2004",14.434114,
"CZE","PPP","TOT","NATUSD","A","2005",14.562493,
"CZE","PPP","TOT","NATUSD","A","2006",14.42765,
"CZE","PPP","TOT","NATUSD","A","2007",14.275037,
"CZE","PPP","TOT","NATUSD","A","2008",13.916713,
"CZE","PPP","TOT","NATUSD","A","2009",13.638086,
"CZE","PPP","TOT","NATUSD","A","2010",13.659782,
"CZE","PPP","TOT","NATUSD","A","2011",13.345305,
"CZE","PPP","TOT","NATUSD","A","2012",13.297699,
"CZE","PPP","TOT","NATUSD","A","2013",12.785271,
"CZE","PPP","TOT","NATUSD","A","2014",12.70321,
"CZE","PPP","TOT","NATUSD","A","2015",13.020574,
"CZE","PPP","TOT","NATUSD","A","2016",13.000021,
"CZE","PPP","TOT","NATUSD","A","2017",12.897748,
"DNK","PPP","TOT","NATUSD","A","2000",8.671479,
"DNK","PPP","TOT","NATUSD","A","2001",8.683539,
"DNK","PPP","TOT","NATUSD","A","2002",8.561606,
"DNK","PPP","TOT","NATUSD","A","2003",8.658039,
"DNK","PPP","TOT","NATUSD","A","2004",8.464509,
"DNK","PPP","TOT","NATUSD","A","2005",8.569438,
"DNK","PPP","TOT","NATUSD","A","2006",8.294639,
"DNK","PPP","TOT","NATUSD","A","2007",8.171752,
"DNK","PPP","TOT","NATUSD","A","2008",7.944128,
"DNK","PPP","TOT","NATUSD","A","2009",7.730936,
"DNK","PPP","TOT","NATUSD","A","2010",7.584051,
"DNK","PPP","TOT","NATUSD","A","2011",7.466492,
"DNK","PPP","TOT","NATUSD","A","2012",7.564136,
"DNK","PPP","TOT","NATUSD","A","2013",7.354846,
"DNK","PPP","TOT","NATUSD","A","2014",7.328674,
"DNK","PPP","TOT","NATUSD","A","2015",7.327533,
"DNK","PPP","TOT","NATUSD","A","2016",7.356401,
"DNK","PPP","TOT","NATUSD","A","2017",7.356282,
"FIN","PPP","TOT","NATUSD","A","2000",0.984143,
"FIN","PPP","TOT","NATUSD","A","2001",1.001685,
"FIN","PPP","TOT","NATUSD","A","2002",0.998133,
"FIN","PPP","TOT","NATUSD","A","2003",1.003181,
"FIN","PPP","TOT","NATUSD","A","2004",0.973749,
"FIN","PPP","TOT","NATUSD","A","2005",0.979424,
"FIN","PPP","TOT","NATUSD","A","2006",0.95373,
"FIN","PPP","TOT","NATUSD","A","2007",0.935882,
"FIN","PPP","TOT","NATUSD","A","2008",0.912125,
"FIN","PPP","TOT","NATUSD","A","2009",0.896479,
"FIN","PPP","TOT","NATUSD","A","2010",0.899671,
"FIN","PPP","TOT","NATUSD","A","2011",0.898068,
"FIN","PPP","TOT","NATUSD","A","2012",0.908495,
"FIN","PPP","TOT","NATUSD","A","2013",0.905357,
"FIN","PPP","TOT","NATUSD","A","2014",0.90721,
"FIN","PPP","TOT","NATUSD","A","2015",0.909225,
"FIN","PPP","TOT","NATUSD","A","2016",0.905179,
"FIN","PPP","TOT","NATUSD","A","2017",0.897446,
"FRA","PPP","TOT","NATUSD","A","2000",0.930388,
"FRA","PPP","TOT","NATUSD","A","2001",0.910809,
"FRA","PPP","TOT","NATUSD","A","2002",0.900678,
"FRA","PPP","TOT","NATUSD","A","2003",0.930988,
"FRA","PPP","TOT","NATUSD","A","2004",0.935644,
"FRA","PPP","TOT","NATUSD","A","2005",0.916458,
"FRA","PPP","TOT","NATUSD","A","2006",0.895501,
"FRA","PPP","TOT","NATUSD","A","2007",0.889785,
"FRA","PPP","TOT","NATUSD","A","2008",0.881874,
"FRA","PPP","TOT","NATUSD","A","2009",0.862944,
"FRA","PPP","TOT","NATUSD","A","2010",0.853868,
"FRA","PPP","TOT","NATUSD","A","2011",0.841361,
"FRA","PPP","TOT","NATUSD","A","2012",0.844301,
"FRA","PPP","TOT","NATUSD","A","2013",0.811643,
"FRA","PPP","TOT","NATUSD","A","2014",0.807565,
"FRA","PPP","TOT","NATUSD","A","2015",0.813835,
"FRA","PPP","TOT","NATUSD","A","2016",0.805938,
"FRA","PPP","TOT","NATUSD","A","2017",0.798152,
"DEU","PPP","TOT","NATUSD","A","2000",0.943231,
"DEU","PPP","TOT","NATUSD","A","2001",0.928805,
"DEU","PPP","TOT","NATUSD","A","2002",0.913257,
"DEU","PPP","TOT","NATUSD","A","2003",0.896992,
"DEU","PPP","TOT","NATUSD","A","2004",0.875547,
"DEU","PPP","TOT","NATUSD","A","2005",0.872721,
"DEU","PPP","TOT","NATUSD","A","2006",0.848345,
"DEU","PPP","TOT","NATUSD","A","2007",0.838258,
"DEU","PPP","TOT","NATUSD","A","2008",0.820401,
"DEU","PPP","TOT","NATUSD","A","2009",0.811086,
"DEU","PPP","TOT","NATUSD","A","2010",0.804321,
"DEU","PPP","TOT","NATUSD","A","2011",0.788739,
"DEU","PPP","TOT","NATUSD","A","2012",0.787246,
"DEU","PPP","TOT","NATUSD","A","2013",0.774784,
"DEU","PPP","TOT","NATUSD","A","2014",0.768937,
"DEU","PPP","TOT","NATUSD","A","2015",0.779323,
"DEU","PPP","TOT","NATUSD","A","2016",0.780084,
"DEU","PPP","TOT","NATUSD","A","2017",0.778114,
"GRC","PPP","TOT","NATUSD","A","2000",0.669787,
"GRC","PPP","TOT","NATUSD","A","2001",0.667814,
"GRC","PPP","TOT","NATUSD","A","2002",0.662967,
"GRC","PPP","TOT","NATUSD","A","2003",0.685888,
"GRC","PPP","TOT","NATUSD","A","2004",0.694898,
"GRC","PPP","TOT","NATUSD","A","2005",0.708976,
"GRC","PPP","TOT","NATUSD","A","2006",0.693084,
"GRC","PPP","TOT","NATUSD","A","2007",0.719136,
"GRC","PPP","TOT","NATUSD","A","2008",0.707951,
"GRC","PPP","TOT","NATUSD","A","2009",0.704414,
"GRC","PPP","TOT","NATUSD","A","2010",0.721331,
"GRC","PPP","TOT","NATUSD","A","2011",0.713163,
"GRC","PPP","TOT","NATUSD","A","2012",0.684663,
"GRC","PPP","TOT","NATUSD","A","2013",0.631286,
"GRC","PPP","TOT","NATUSD","A","2014",0.611135,
"GRC","PPP","TOT","NATUSD","A","2015",0.610313,
"GRC","PPP","TOT","NATUSD","A","2016",0.603981,
"GRC","PPP","TOT","NATUSD","A","2017",0.593954,
"HUN","PPP","TOT","NATUSD","A","2000",110.088885,
"HUN","PPP","TOT","NATUSD","A","2001",114.297215,
"HUN","PPP","TOT","NATUSD","A","2002",118.141282,
"HUN","PPP","TOT","NATUSD","A","2003",122.155866,
"HUN","PPP","TOT","NATUSD","A","2004",128.453063,
"HUN","PPP","TOT","NATUSD","A","2005",130.929945,
"HUN","PPP","TOT","NATUSD","A","2006",131.610018,
"HUN","PPP","TOT","NATUSD","A","2007",134.219685,
"HUN","PPP","TOT","NATUSD","A","2008",131.005355,
"HUN","PPP","TOT","NATUSD","A","2009",127.687026,
"HUN","PPP","TOT","NATUSD","A","2010",126.297617,
"HUN","PPP","TOT","NATUSD","A","2011",124.271836,
"HUN","PPP","TOT","NATUSD","A","2012",125.623608,
"HUN","PPP","TOT","NATUSD","A","2013",124.979432,
"HUN","PPP","TOT","NATUSD","A","2014",129.414974,
"HUN","PPP","TOT","NATUSD","A","2015",133.364356,
"HUN","PPP","TOT","NATUSD","A","2016",135.170478,
"HUN","PPP","TOT","NATUSD","A","2017",137.576062,
"ISL","PPP","TOT","NATUSD","A","2000",84.735314,
"ISL","PPP","TOT","NATUSD","A","2001",88.210611,
"ISL","PPP","TOT","NATUSD","A","2002",91.105413,
"ISL","PPP","TOT","NATUSD","A","2003",92.717248,
"ISL","PPP","TOT","NATUSD","A","2004",93.338372,
"ISL","PPP","TOT","NATUSD","A","2005",95.840665,
"ISL","PPP","TOT","NATUSD","A","2006",101.725114,
"ISL","PPP","TOT","NATUSD","A","2007",107.483265,
"ISL","PPP","TOT","NATUSD","A","2008",114.527003,
"ISL","PPP","TOT","NATUSD","A","2009",121.972811,
"ISL","PPP","TOT","NATUSD","A","2010",132.762126,
"ISL","PPP","TOT","NATUSD","A","2011",135.152004,
"ISL","PPP","TOT","NATUSD","A","2012",136.96767,
"ISL","PPP","TOT","NATUSD","A","2013",137.022617,
"ISL","PPP","TOT","NATUSD","A","2014",138.547869,
"ISL","PPP","TOT","NATUSD","A","2015",142.233544,
"ISL","PPP","TOT","NATUSD","A","2016",144.105148,
"ISL","PPP","TOT","NATUSD","A","2017",139.862226,
"IRL","PPP","TOT","NATUSD","A","2000",0.943968,
"IRL","PPP","TOT","NATUSD","A","2001",0.968419,
"IRL","PPP","TOT","NATUSD","A","2002",0.981997,
"IRL","PPP","TOT","NATUSD","A","2003",1.005118,
"IRL","PPP","TOT","NATUSD","A","2004",0.9917,
"IRL","PPP","TOT","NATUSD","A","2005",1.011707,
"IRL","PPP","TOT","NATUSD","A","2006",0.979121,
"IRL","PPP","TOT","NATUSD","A","2007",0.958884,
"IRL","PPP","TOT","NATUSD","A","2008",0.944447,
"IRL","PPP","TOT","NATUSD","A","2009",0.901261,
"IRL","PPP","TOT","NATUSD","A","2010",0.848743,
"IRL","PPP","TOT","NATUSD","A","2011",0.831513,
"IRL","PPP","TOT","NATUSD","A","2012",0.823072,
"IRL","PPP","TOT","NATUSD","A","2013",0.811228,
"IRL","PPP","TOT","NATUSD","A","2014",0.819041,
"IRL","PPP","TOT","NATUSD","A","2015",0.812658,
"IRL","PPP","TOT","NATUSD","A","2016",0.811739,
"IRL","PPP","TOT","NATUSD","A","2017",0.806292,
"ITA","PPP","TOT","NATUSD","A","2000",0.805378,
"ITA","PPP","TOT","NATUSD","A","2001",0.815496,
"ITA","PPP","TOT","NATUSD","A","2002",0.823489,
"ITA","PPP","TOT","NATUSD","A","2003",0.834445,
"ITA","PPP","TOT","NATUSD","A","2004",0.852335,
"ITA","PPP","TOT","NATUSD","A","2005",0.855139,
"ITA","PPP","TOT","NATUSD","A","2006",0.823589,
"ITA","PPP","TOT","NATUSD","A","2007",0.810304,
"ITA","PPP","TOT","NATUSD","A","2008",0.783694,
"ITA","PPP","TOT","NATUSD","A","2009",0.771303,
"ITA","PPP","TOT","NATUSD","A","2010",0.772437,
"ITA","PPP","TOT","NATUSD","A","2011",0.758687,
"ITA","PPP","TOT","NATUSD","A","2012",0.747731,
"ITA","PPP","TOT","NATUSD","A","2013",0.737299,
"ITA","PPP","TOT","NATUSD","A","2014",0.739644,
"ITA","PPP","TOT","NATUSD","A","2015",0.742693,
"ITA","PPP","TOT","NATUSD","A","2016",0.7224,
"ITA","PPP","TOT","NATUSD","A","2017",0.71213,
